Memento	The Estimated Age
930	4603
1	13
285	4957
30	800
705	6347
1	957
10598	3351
311	2974
18	96
1	99
2	625
1	41
2	22
7	323
9	33
2	15
2	15
1	12
1	13
1	13
2	13
1	13
1	13
1	12
1	7
1	8
1143	685
2	140
42	286
97	563
1	37
3	13
1	41
1	7
2	10
1	11
2	36
2	40
2	28
2	64
1	26
8	399
36	377
11	753
40	1048
2	14
2	38
1	50
2	23
4	606
1	25
2	13
4	549
191	1595
4	1339
4	1444
4	686
1	183
1	196
1	170
1	155
1	163
1	167
1	161
1	166
1	118
2	97
2	100
1	93
1	113
1	106
2	104
1	58
1	64
1	62
1	47
1	44
1	51
1	55
5	597
3	156
3	50
5	162
2	134
2	118
1	54
1	239
3	156
1	155
1	142
1	134
1	135
1	76
2	70
1	110
1	9
1	119
2	15
2	600
1	63
1	28
4	177
1	532
1	218
2	469
1	27
14	702
17	539
8	548
1	16
1	28
2	22
1	35
1	22
1	58
1	8
170	
22	782
7	513
6	603
2	38
31	4132
7	775
3	198
6	480
4	160
2	166
316	4703
4703	
8	592
73	38
19	482
1	42
1	55
6	532
1	9
11	146
10	933
27	2398
11	29
9171	16
9171	16
11	1411
3	34
22	1113
51	783
1	155
1	112
6	300
3	619
2	105
4	587
4	574
4	574
2	90
1	134
1	396
1	721
1	816
1	825
1	9
1	19
8	476
3	551
1	629
15	586
1	84
25	31
25	38
206	1302
5	441
3	336
1	127
1	91
35	462
92	2898
1	53
2	26
1	64
24	402
39	579
1	434
37	407
1	196
1	138
1	36
2	34
7	28
1	13
1	81
14	768
1	245
39	371
1	19
11	21
2	152
2	187
1	475
1	211
265	163
5	132
20	13
19	84
1	42
113	534
99	504
1	100
4	253
22	219
2	24
335	546
6	393
11	986
2	13
1	411
79	747
13	93
28	734
1	55
1	924
3	183
1	13
41	860
65	1104
2	138
6	162
1	155
1	68
2	62
1	33
6	74
82	1043
2	403
1	182
1	176
1	170
1	163
1	161
1	153
1	113
1	105
1	76
1	76
1	61
1	192
3	223
417	1858
26	1644
3	436
3	433
1	35
1	8
18	539
3	304
35	673
1	90
5	20
10	175
1	27
2	16
3	16
1	16
1	16
3	16
2	16
3	16
2	16
2	15
2	15
2	15
2	14
4	15
1	15
1	14
1	14
5	14
4	14
2	14
2	14
4	14
2	13
2	14
2	14
3	14
2	14
1	14
3	14
2	14
2	12
1	13
2	13
1	14
3	13
1	13
2	13
3	13
1	13
1	12
1	13
2	13
2	13
1	13
2	12
2	12
2	12
3	12
1	12
1	12
1	12
3	11
1	11
2	11
1	11
1	10
1	10
1	10
1	10
1	9
1	8
1	9
2	9
1	9
1	9
1	9
2	9
2	10
1	9
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	9
1	8
1	8
1	7
1	7
2	7
1	7
1	7
1	7
1	7
2	7
1	7
2	7
1	7
1	7
1	7
1	8
1	7
1	6
1	6
1	6
1	133
16	1707
18	2595
9	127
2	57
21	266
29	343
2	35
2	118
21	1362
2	10
2	29
2	107
1	34
1	12
1	8
1	34
4	157
1	386
2	8
1	47
1	16
1	366
54	825
1	15
6	146
1	97
50	2361
257	4511
2	137
2	112
5	163
98	1155
1	204
1	62
1	51
2	8
1	57
32	50
48	741
302	753
2	14
2	13
42	260
8	11
8	12
14	18
4	32
7	187
24	21
18	110
12785	1687
112	1116
2	146
1	32
1	15
9	764
29	651
1	189
3	53
946	4548
2	8
3	245
3	245
3	274
1	281
3	244
1	33
2	29
1	21
2	654
1	64
237	1818
5	293
1	104
3	50
7	701
1	138
1	113
1	63
2	15
3	15
4	182
1	119
43	799
37	812
1	36
2	15
2	9
1	7
3	117
1	59
32	812
24	1235
3	1030
40	732
1	268
2	14
2	184
38	788
2	72
15	362
1	8
32	395
1	66
1	590
74	1639
1	252
1	44
97	744
26	615
2	44
2	2
2	51
1	736
1	91
39	615
3	26
1	22
33	248
376	4436
8	397
4	306
3	202
3	157
3	176
