Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
Garage Band Theatre	5	8	3	7	4	3	4	2	2	2	5	6	14	5	17	2	1	6	12	2	11	7	2	3	1	9	8	4	14	10	11	0	26	5	6	1	6	5	2	5	3	11	0	2	10	3	8	1	1	3	0	1	7	6	5	5	1	1	4	4	8	3	7	11	4	3	4	7	8	2	0	1	19	3	1	7	11	8	2	2	0	9	3	0	0	3	1	1	2	2	11	2	9	1	13	3	4	16	5	11	4	1	3	0	2	4	2	0	0	0	2	2	2	5	37	15	1	0	3	3	6	0	2	3	2	5	1	2	0	0	6	0	2	7	3	3	13	46	1	0	0	3	6	4	0	0	6	3	5	3	5	5	23	1	4	2	4	4	5	9	5	1	6	11	9	2	2	2	0	0	5	2	1	6	1	3	1	2	8	1	2	2	8	12	2	17	3	2	0	6	4	6	2	0	0	1	2	3	4	0	1	1	4	2	1	4	5	1	1	8	1	10	11	0	1	0	1	4	2	2	0	0	4	9	2	2	17	8	1	0	1	3	0	8	1	4	4	3	1	1	2	1	0	8	2	3	2	1	3	1	4	0	8	1	6	4	3	5	3	0	21	11	2	8	7	5	1	3	0	2	1	6	1	3	4	3	4	2	0	3	4	3	2	0	1	3	1	2	0	3	0	3	0	1	1	0	0	5	0	5	1	3	1	0	1	0	1	1	4	11	3	1	0	18	2	3	2	5	2	3	1	1	0	4	1	3	4	3	1	1	1	2	5	0	0	2	0	0	0	0	3	1	1	2	21	1	3	2	57	1	6	0	0	0	0	1	3	6	0	0	1	2	1	1	6	3	2	1	0	1	0	1	0	0	1	0	2	9	1	5	1	0	1	0	5	0	5	1	8	0	2	2	2	1	0	3	0	16	5	3	0	1	4	0	0	3	2	2	1	0	2	5	6	0	0	0	1	2	3	6	1	1	1	3	1	0	3	0	0	1	3	0	1	7	7	4	1	2	0	1	0	1	0	0	3	1	9	1	4	9	0	5	2	0	0	2	1	2	3	0	2	1	2	1	0	2	2	3	1	0	0	0	0	2	0	2	1	0	5	1	4	0	2	1	0	4	0	0	6	2	1	1	0	1	0	1	1	1	0	2
On the road: outreach and action with Lokahi	2	4	4	0	1	3	5	5	10	3	2	0	0	0	1	3	3	1	0	1	1	0	0	2	7	0	3	4	0	0	1	0	23	1	0	2	0	2	0	13	4	5	5	1	3	5	1	1	11	3	3	0	2	1	4	5	0	2	1	3	0	0	1	1	3	4	3	0	3	0	1	3	1	3	12	0	0	0	1	0	3	0	3	28	2	4	0	0	0	2	0	3	0	0	14	0	0	0	1	21	8	9	1	0	5	1	0	0	76	2	2	15	1	0	0	4	0	0	0	0	4	19	0	3	15	2	0	0	0	6	3	0	0	0	0	5	1	3	1	1	1	0	0	3	0	2	0	14	3	1	2	7	1	0	3	4	2	2	20	2	4	2	2	3	5	1	0	0	0	1	2	0	0	0	3	11	0	2	1	2	1	3	4	0	0	0	0	0	2	0	0	1	0	0	2	5	1	1	3	1	1	0	0	0	0	0	0	2	0	9	0	1	1	1	0	0	1	0	1	0	18	0	20	12	9	0	3	16	0	10	1	1	4	0	1	2	11	2	0	0	0	0	2	0	0	2	7	0	7	2	0	0	1	3	3	0	0	0	6	0	6	9	0	5	0	15	0	2	11	0	1	0	4	4	0	0	0	0	0	6	0	1	0	11	4	0	0	9	7	3	1	1	1	8	0	1	1	1	0	0	1	4	0	0	0	1	2	0	3	0	0	1	1	0	0	2	1	0	6	0	0	4	1	0	31	2	4	19	0	2	4	0	1	0	2	0	1	0	4	0	0	1	1	2	5	1	10	0	0	1	1	0	8	0	0	0	3	0	0	0	0	0	1	1	2	2	3	1	0	0	0	0	3	1	2	2	0	1	2	0	6	2	1	0	13	0	1	0	2	0	7	0	2	0	1	2	0	0	0	1	1	0	3	0	0	1	2	1	7	29	2	3	4	0	0	0	1	1	0	0	0	0	8	0	0	5	0	1	1	0	0	0	2	11	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	13	0	0	1	0	0	0	0	2	0	3	1	9	0	0	9	1	4	0	0	0	0	0	2	0	0	1	0	0	2	5	0	0	1	0	0	0	0	3	1	2	2	0	1	1	0	0	0	1	2	0
A bun in the oven makes half a dozen	0	1	2	2	0	2	0	1	2	0	0	2	2	1	1	0	0	1	3	0	1	3	1	5	1	2	2	0	1	1	1	2	0	0	1	0	0	0	3	0	0	3	15	2	1	5	5	0	1	0	10	5	0	2	0	0	0	0	0	1	1	0	0	0	1	1	0	0	5	2	0	0	0	2	0	0	0	2	1	0	1	0	1	0	1	0	0	0	2	1	2	2	1	0	0	0	2	0	0	0	1	3	3	1	0	0	1	1	2	1	1	0	0	2	1	1	1	3	1	1	1	1	3	2	0	0	1	1	0	1	3	4	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	1	0	2	0	0	1	0	2	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	2	0	0	1	1	1	4	0	0	0	0	41	0	1	1	1	2	6	1	3	5	1	0	3	2	0	3	1	0	1	0	1	0	0	2	4	0	1	0	0	2	0	1	0	3	1	0	0	3	0	0	1	0	0	0	0	3	1	1	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	1	0	0	3	0	1	1	5	0	0	1	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	9	0	1	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	3	1	0	0	1	3	11	0	0	1	0	0	3	0	0	0	0	0	0	2	4	1	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0
eSpace	3	2	1	0	3	1	5	4	0	1	3	5	6	1	0	10	2	1	0	6	1	1	3	5	1	4	4	1	2	16	3	1	1	12	3	2	2	18	3	7	3	4	1	5	0	1	0	2	5	12	1	0	2	0	0	2	0	1	5	3	2	1	2	24	5	7	0	4	0	0	0	0	9	4	0	1	2	0	4	4	3	4	1	0	1	2	2	5	1	1	3	0	5	0	1	1	0	5	2	9	4	0	1	0	2	4	3	0	0	1	1	1	1	0	2	9	0	2	5	5	0	1	0	2	0	1	0	4	0	1	3	0	5	0	0	7	1	4	1	1	1	1	2	0	0	1	0	4	0	0	3	2	0	0	1	1	0	0	2	1	0	1	0	1	4	0	3	0	1	0	8	1	0	4	2	0	7	0	3	1	7	1	1	0	0	12	0	1	1	0	0	4	0	0	1	3	0	1	2	0	0	3	4	0	0	3	4	0	7	0	2	0	4	0	3	0	2	2	0	0	0	0	2	0	1	0	29	0	4	0	0	1	0	2	0	1	0	2	1	2	1	0	16	2	0	11	2	0	13	0	8	1	2	2	0	0	0	7	0	1	0	7	1	16	5	0	0	0	1	4	3	3	0	0	12	75	2	1	1	1	4	1	1	0	13	2	3	6	0	0	2	0	1	1	0	0	36	0	3	2	0	0	2	2	5	4	1	3	2	0	0	0	5	1	16	1	1	4	0	1	0	3	0	13	11	16	6	1	0	0	7	4	4	0	2	3	3	26	0	0	1	0	0	1	0	3	0	4	0	0	5	0	1	0	8	15	0	4	3	2	0	0	0	0	0	0	4	4	0	3	0	0	4	0	3	0	0	3	0	3	0	0	2	0	2	0	0	0	3	2	0	0	3	1	2	2	0	2	1	3	5	1	1	3	0	3	1	5	6	0	11	2	3	1	0	2	0	2	1	0	0	3	3	0	1	33	4	0	14	1	0	1	0	0	7	4	0	4	0	26	1	0	0	0	1	1	3	0	0	2	0	0	1	0	3	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	1	0	1	2	0	0	6	0	4	0	0	0	3	0	0	0	3	0	0	0
Keep Running Fast	0	7	4	1	11	12	1	3	4	31	6	1	3	4	1	0	5	7	5	15	0	19	10	16	3	1	0	3	1	1	5	17	1	1	0	41	8	0	27	2	52	1	25	8	0	3	0	0	5	138	9	0	1	14	0	6	0	8	0	5	0	4	2	1	1	18	5	3	10	0	5	0	5	2	0	2	6	21	7	1	0	0	5	0	11	10	0	0	6	0	2	5	0	1	0	2	0	0	0	7	0	3	13	5	2	25	2	1	9	0	13	1	1	40	0	0	5	3	3	1	0	0	3	9	9	5	2	12	0	7	1	0	1	0	1	62	0	0	1	2	0	0	1	4	2	0	0	1	0	0	0	4	1	2	0	6	14	2	0	1	0	5	2	0	1	5	0	0	1	0	1	7	5	0	0	1	2	0	8	10	1	0	0	0	4	1	0	1	4	30	0	3	7	22	0	1	10	1	2	10	0	0	1	4	3	0	1	1	6	0	5	1	0	2	1	0	1	2	10	1	3	6	7	0	0	0	1	0	2	1	13	0	4	0	2	0	3	5	1	1	1	0	0	9	1	1	0	2	0	1	0	6	0	2	1	0	0	0	19	0	8	0	4	1	0	0	0	0	2	4	0	4	0	0	0	0	0	0	1	4	0	2	1	0	0	0	0	0	1	4	0	0	10	1	3	1	0	1	0	0	20	4	0	1	1	0	0	1	0	0	0	13	0	0	0	0	6	0	0	0	5	1	0	0	0	0	2	3	0	2	3	2	0	2	0	1	2	0	0	0	0	0	1	5	0	1	2	0	0	3	0	4	1	0	0	13	4	0	2	1	13	74	1	4	7	1	0	0	3	1	0	2	0	4	0	33	0	2	0	1	0	2	0	1	7	0	0	0	0	3	2	0	3	0	4	0	1	0	1	1	1	1	1	9	0	3	0	0	0	0	0	0	0	2	5	14	0	0	18	1	1	3	0	1	0	0	6	20	1	10	0	0	1	0	0	2	0	0	0	1	0	0	0	10	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	13	3	0	0	0	0	0	2	0	0	1	1	1	4	1	9	0	0	0	0	5	0	2	0	0	5	0	0
Sanity is for those without children	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	6	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	2	0	0	1	0	2	0	0	5	0	0	0	2	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0	0	3	6	0	0	1	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	1	1	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	3	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
Mystery Hoard	1	2	2	6	5	2	2	0	1	0	3	12	3	6	0	2	2	1	4	2	5	1	2	4	4	1	2	2	2	2	7	2	2	0	0	1	8	7	3	3	1	2	0	3	0	4	1	5	0	1	5	1	2	1	2	2	0	2	0	2	0	1	0	4	2	0	0	0	1	0	0	1	3	2	3	2	1	3	2	3	1	0	3	2	4	1	1	21	3	0	3	3	1	4	0	1	1	0	1	1	9	0	0	0	3	0	2	1	0	6	6	0	0	2	0	0	1	1	1	1	0	3	1	0	0	0	2	3	0	3	0	0	1	0	0	0	2	1	0	1	0	3	0	1	2	1	0	3	0	1	8	0	0	3	5	4	2	0	2	3	1	1	2	6	2	2	0	2	1	0	1	2	0	1	0	3	5	0	1	0	0	0	13	0	1	4	2	3	1	0	1	3	0	0	0	3	2	2	1	0	5	0	0	0	1	0	2	1	0	3	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	3	3	1	2	0	1	2	1	1	2	0	4	0	0	2	0	1	1	3	3	3	4	1	2	3	3	0	1	0	1	0	1	0	0	15	8	3	1	2	2	1	1	1	2	0	4	1	3	0	1	0	2	0	1	1	2	1	1	1	0	3	0	3	0	1	2	1	1	0	0	0	1	1	0	5	0	0	6	0	1	0	1	1	1	1	0	0	2	3	0	1	0	1	4	0	2	2	1	1	3	2	11	0	0	1	0	2	9	1	0	3	2	3	2	0	0	0	0	4	1	3	1	1	0	0	6	3	1	1	2	2	3	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	0	0	1	1	4	4	1	0	0	0	0	0	1	2	5	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	3	2	2	0	2	0	0	0	6	0	0	1	1	1	4	3	3	2	0	0	3	0	1	0	1	4	0	2	0	1	0	0	2	0	0	1	6	1	0	4	0	0	1	4	1	2	5	1	1	2	0	0	1	0	16	1	0	0	2	2	0	2	0	1	0	2	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1
C & E	0	1	0	0	1	3	1	2	2	4	0	0	0	0	1	2	0	0	0	0	0	0	3	5	2	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	3	1	1	0	0	0	19	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	1	1	5	1	0	0	2	0	0	0	1	0	0	0	1	0	1	5	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	9	0	0	2	0	0	6	0	0	0	1	8	0	0	1	1	0	0	0	4	0	1	2	11	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	3	6	0	2	1	2	0	0	0	4	0	0	1	2	1	1	1	0	1	2	0	0	1	0	1	3	1	0	0	1	0	1	1	0	3	0	1	0	0	0	4	7	0	0	0	1	2	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Gossips at the lunch hall	1	0	0	1	0	1	0	1	1	2	2	0	1	0	1	3	0	0	0	0	0	1	0	1	1	0	0	4	6	1	1	1	1	0	0	2	4	2	0	2	0	2	0	2	3	2	3	3	1	4	1	1	2	0	0	4	5	1	2	1	0	0	0	10	0	3	0	2	1	1	0	2	0	1	7	1	4	0	2	1	0	1	4	0	2	2	6	10	0	4	0	2	1	0	1	7	2	0	1	2	2	0	1	1	0	2	0	0	15	1	0	1	2	0	1	1	4	0	1	0	0	0	0	1	0	8	2	0	1	0	0	1	1	1	0	0	1	0	2	3	0	1	0	0	0	0	2	1	2	1	0	0	0	0	2	1	1	0	0	1	0	2	3	8	0	1	1	1	0	0	1	3	0	0	2	0	0	0	4	2	4	1	0	0	1	4	0	0	2	1	1	1	1	1	2	2	0	2	0	0	2	0	0	0	2	2	1	1	1	0	1	0	1	1	0	3	1	0	0	0	3	0	4	1	0	1	2	0	4	0	0	3	2	2	0	0	1	0	0	0	9	1	2	0	0	2	2	4	0	5	0	2	1	1	0	0	0	1	0	0	0	3	1	1	2	0	1	0	0	2	1	3	0	0	3	1	0	9	0	1	2	0	3	1	1	0	0	2	0	0	1	0	0	1	1	0	1	1	1	0	0	2	1	0	13	2	5	1	1	1	0	0	0	1	0	2	2	3	1	2	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	1	3	0	0	0	0	0	1	2	0	3	0	0	0	6	1	0	1	3	0	1	1	0	0	2	2	1	1	0	0	0	0	2	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	2	0	0	0	1	0	1	0	2	0	1	1	1	0	1	3	0	1	0	0	4	2	0	0	0	0	0	1	0	1	0	1	0	4	0	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	3	1	0	0	0	0	1	1	4	0	0	0	3	0	0	0	0	2	1	1	0	2	0	0	2	3	0	0	0	2	1	0	0	0	1	0	5	0	0	0	1	2	1	0	1	1	1	0	0	0	0	2	1	0
The Buddhist Conservative	6	0	9	3	3	1	0	3	4	1	9	14	0	0	11	5	0	2	4	0	8	6	4	4	10	5	2	3	13	0	1	0	3	6	4	0	0	1	0	4	0	9	2	3	2	5	0	3	1	2	8	1	7	2	9	7	2	2	6	2	3	2	4	3	5	5	0	3	4	0	1	0	0	0	0	0	8	0	1	2	9	8	1	3	3	0	3	0	1	5	2	4	2	3	4	8	1	5	2	1	1	0	0	2	3	4	24	2	8	1	2	0	8	1	0	2	2	8	4	3	0	0	1	5	0	2	1	4	25	3	3	0	7	3	3	1	19	0	2	0	3	9	0	1	2	6	5	0	1	1	0	1	2	10	7	0	0	1	1	1	3	4	2	4	7	0	0	9	1	0	0	3	0	0	0	1	2	2	2	0	1	3	0	0	0	1	0	2	0	0	1	1	1	7	1	0	0	4	11	2	1	0	2	0	3	3	1	0	0	1	0	15	4	2	0	3	8	1	0	1	4	1	0	7	1	0	1	1	1	1	0	3	1	7	4	0	1	0	2	0	2	0	3	1	0	4	0	0	0	9	8	1	16	0	1	0	2	2	1	0	0	2	2	1	3	0	1	1	2	2	1	0	0	4	5	0	4	1	1	5	5	0	0	0	3	0	1	1	2	3	8	0	3	0	2	0	0	4	12	4	0	1	0	2	2	1	5	3	2	2	2	0	0	0	1	0	0	0	1	1	6	1	4	1	3	0	0	0	5	0	1	0	1	3	2	1	1	0	0	0	5	4	2	0	0	1	0	0	1	0	7	0	2	0	2	0	6	1	3	1	2	2	2	2	1	5	1	0	2	1	0	3	1	0	4	2	0	4	0	2	0	2	3	0	8	1	3	10	3	8	0	0	3	20	4	1	1	1	5	0	0	1	1	1	6	0	2	4	2	2	0	0	0	0	0	5	1	1	0	1	0	0	0	0	0	0	0	1	0	2	1	4	3	0	5	2	0	1	5	6	0	4	1	0	1	2	3	0	0	0	2	0	1	4	0	0	0	3	17	1	0	0	3	0	0	0	4	1	2	0	0	1	0	1	1	0	1	1	1	0	0	1	1	5	0	0	1	1	0	4	0	1	2	1	0	7	4	0	0	2
